frame.number,ip.src,ip.dst,tcp.srcport,udp.srcport,tcp.dstport,udp.dstport,ip.proto,Flow_ID
152,192.168.70.129,192.168.70.150,102,,41906,,6,22
153,192.168.70.129,192.168.70.150,102,,47030,,6,20
154,192.168.70.129,209.250.254.15,,43288,,21116,17,2
155,209.250.254.15,192.168.70.129,,21116,,43288,17,2
156,192.168.70.150,192.168.70.129,50876,,502,,6,21
157,192.168.70.150,192.168.70.129,54508,,502,,6,23
158,192.168.70.129,192.168.70.150,502,,54508,,6,23
159,192.168.70.150,192.168.70.129,54508,,502,,6,23
160,192.168.70.150,192.168.70.129,54508,,502,,6,23
161,192.168.70.129,192.168.70.150,502,,54508,,6,23
162,192.168.70.129,192.168.70.150,502,,50876,,6,21
163,192.168.70.129,84.17.62.8,45368,,443,,6,1
164,84.17.62.8,192.168.70.129,443,,45368,,6,1
165,192.168.70.150,192.168.70.129,54508,,502,,6,23
166,192.168.70.150,192.168.70.129,49128,,502,,6,24
167,192.168.70.129,192.168.70.150,502,,49128,,6,24
168,192.168.70.150,192.168.70.129,49128,,502,,6,24
169,192.168.70.150,192.168.70.129,49128,,502,,6,24
170,192.168.70.129,192.168.70.150,502,,49128,,6,24
171,192.168.70.150,192.168.70.129,41906,,102,,6,22
172,192.168.70.150,192.168.70.129,57216,,102,,6,25
173,192.168.70.129,192.168.70.150,102,,57216,,6,25
174,192.168.70.150,192.168.70.129,57216,,102,,6,25
175,192.168.70.150,192.168.70.129,57216,,102,,6,25
176,192.168.70.129,192.168.70.150,102,,57216,,6,25
177,192.168.70.129,192.168.70.150,502,,54508,,6,23
178,192.168.70.129,192.168.70.150,102,,41906,,6,22
179,192.168.70.150,192.168.70.129,49128,,502,,6,24
180,192.168.70.150,192.168.70.129,49132,,502,,6,26
181,192.168.70.129,192.168.70.150,502,,49132,,6,26
182,192.168.70.150,192.168.70.129,49132,,502,,6,26
183,192.168.70.150,192.168.70.129,49132,,502,,6,26
184,192.168.70.129,192.168.70.150,502,,49132,,6,26
185,192.168.70.150,192.168.70.129,57216,,102,,6,25
186,192.168.70.150,192.168.70.129,57222,,102,,6,27
187,192.168.70.129,192.168.70.150,102,,57222,,6,27
188,192.168.70.150,192.168.70.129,57222,,102,,6,27
189,192.168.70.150,192.168.70.129,57222,,102,,6,27
190,192.168.70.129,192.168.70.150,102,,57222,,6,27
191,192.168.70.129,192.168.70.150,502,,49128,,6,24
192,192.168.70.129,192.168.70.150,102,,57216,,6,25
193,192.168.70.129,84.17.62.8,45368,,443,,6,1
194,84.17.62.8,192.168.70.129,443,,45368,,6,1
195,192.168.70.129,209.250.254.15,,43288,,21116,17,2
196,209.250.254.15,192.168.70.129,,21116,,43288,17,2
197,192.168.70.150,192.168.70.129,49132,,502,,6,26
198,192.168.70.150,192.168.70.129,50348,,502,,6,28
199,192.168.70.150,192.168.70.129,57222,,102,,6,27
200,192.168.70.150,192.168.70.129,58044,,102,,6,29
201,192.168.70.129,192.168.70.150,502,,50348,,6,28
202,192.168.70.129,192.168.70.150,102,,58044,,6,29
203,192.168.70.150,192.168.70.129,50348,,502,,6,28
204,192.168.70.150,192.168.70.129,58044,,102,,6,29
205,192.168.70.150,192.168.70.129,50348,,502,,6,28
206,192.168.70.150,192.168.70.129,58044,,102,,6,29
207,192.168.70.129,192.168.70.150,502,,50348,,6,28
208,192.168.70.129,192.168.70.150,102,,58044,,6,29
209,192.168.70.129,192.168.70.150,102,,57222,,6,27
210,192.168.70.129,192.168.70.150,502,,49132,,6,26
211,192.168.70.150,192.168.70.129,50348,,502,,6,28
212,192.168.70.150,192.168.70.129,50350,,502,,6,30
213,192.168.70.150,192.168.70.129,58044,,102,,6,29
